ID,Name,Category,Price
1,Item_1,Home,392.11
2,Item_2,Home,201.46
3,Item_3,Electronics,239.19
4,Item_4,Clothing,103.55
5,Item_5,Books,201.73
6,Item_6,Books,329.83
7,Item_7,Clothing,92.39
8,Item_8,Books,70.95
9,Item_9,Clothing,78.17
10,Item_10,Toys,54.59
11,Item_11,Toys,379.56
12,Item_12,Home,256.1
13,Item_13,Clothing,399.17
14,Item_14,Electronics,72.08
15,Item_15,Books,378.39
16,Item_16,Toys,316.64
17,Item_17,Clothing,459.97
18,Item_18,Home,306.02
19,Item_19,Books,331.46
20,Item_20,Home,363.31
21,Item_21,Electronics,271.51
22,Item_22,Home,278.43
23,Item_23,Toys,465.98
24,Item_24,Clothing,263.15
25,Item_25,Electronics,77.15
26,Item_26,Clothing,307.02
27,Item_27,Home,47.34
28,Item_28,Electronics,379.61
29,Item_29,Toys,330.97
30,Item_30,Clothing,451.46
31,Item_31,Books,359.51
32,Item_32,Electronics,36.11
33,Item_33,Home,85.03
34,Item_34,Home,497.92
35,Item_35,Clothing,47.27
36,Item_36,Electronics,255.32
37,Item_37,Clothing,232.1
38,Item_38,Electronics,148.15
39,Item_39,Clothing,300.06
40,Item_40,Electronics,254.54
41,Item_41,Clothing,134.82
42,Item_42,Home,273.42
43,Item_43,Home,401.77
44,Item_44,Electronics,486.2
45,Item_45,Clothing,436.8
46,Item_46,Home,326.11
47,Item_47,Books,349.47
48,Item_48,Books,174.58
49,Item_49,Electronics,180.29
50,Item_50,Electronics,86.49
51,Item_51,Electronics,145.74
52,Item_52,Home,459.56
53,Item_53,Books,244.1
54,Item_54,Clothing,457.6
55,Item_55,Clothing,78.9
56,Item_56,Home,269.03
57,Item_57,Books,145.32
58,Item_58,Toys,205.44
59,Item_59,Books,351.58
60,Item_60,Home,430.43
61,Item_61,Clothing,38.13
62,Item_62,Toys,111.76
63,Item_63,Home,30.51
64,Item_64,Toys,316.7
65,Item_65,Home,116.91
66,Item_66,Home,473.94
67,Item_67,Toys,343.12
68,Item_68,Electronics,12.72
69,Item_69,Clothing,489.17
70,Item_70,Home,117.06
71,Item_71,Clothing,66.11
72,Item_72,Clothing,462.41
73,Item_73,Electronics,84.04
74,Item_74,Books,31.74
75,Item_75,Books,113.67
76,Item_76,Clothing,176.26
77,Item_77,Books,196.11
78,Item_78,Clothing,299.64
79,Item_79,Books,394.15
80,Item_80,Books,358.58
81,Item_81,Electronics,493.66
82,Item_82,Books,88.46
83,Item_83,Toys,61.43
84,Item_84,Home,427.8
85,Item_85,Clothing,97.63
86,Item_86,Toys,11.96
87,Item_87,Books,41.17
88,Item_88,Home,295.47
89,Item_89,Electronics,450.76
90,Item_90,Electronics,403.69
91,Item_91,Clothing,394.08
92,Item_92,Clothing,376.54
93,Item_93,Books,9.36
94,Item_94,Clothing,297.03
95,Item_95,Toys,123.8
96,Item_96,Home,434.07
97,Item_97,Electronics,412.28
98,Item_98,Books,320.76
99,Item_99,Electronics,151.58
100,Item_100,Clothing,137.99
101,Item_101,Electronics,262.32
102,Item_102,Toys,465.71
103,Item_103,Toys,53.31
104,Item_104,Toys,232.83
105,Item_105,Books,142.2
106,Item_106,Electronics,440.98
107,Item_107,Books,51.73
108,Item_108,Clothing,395.82
109,Item_109,Electronics,451.33
110,Item_110,Home,228.93
111,Item_111,Books,323.5
112,Item_112,Books,99.17
113,Item_113,Books,302.73
114,Item_114,Books,90.79
115,Item_115,Electronics,263.13
116,Item_116,Clothing,484.45
117,Item_117,Clothing,293.44
118,Item_118,Toys,209.21
119,Item_119,Clothing,443.59
120,Item_120,Home,85.16
121,Item_121,Electronics,272.31
122,Item_122,Clothing,424.92
123,Item_123,Home,327.37
124,Item_124,Clothing,471.7
125,Item_125,Toys,330.68
126,Item_126,Books,354.79
127,Item_127,Books,36.01
128,Item_128,Books,57.65
129,Item_129,Clothing,334.78
130,Item_130,Clothing,78.64
131,Item_131,Electronics,454.66
132,Item_132,Books,361.09
133,Item_133,Toys,30.38
134,Item_134,Electronics,223.98
135,Item_135,Books,396.29
136,Item_136,Home,257.66
137,Item_137,Electronics,305.35
138,Item_138,Home,420.29
139,Item_139,Home,120.86
140,Item_140,Clothing,279.92
141,Item_141,Clothing,327.77
142,Item_142,Home,350.19
143,Item_143,Books,307.2
144,Item_144,Clothing,63.86
145,Item_145,Toys,174.7
146,Item_146,Books,485.38
147,Item_147,Clothing,463.69
148,Item_148,Clothing,478.11
149,Item_149,Home,269.22
150,Item_150,Clothing,275.67
151,Item_151,Home,394.65
152,Item_152,Clothing,162.11
153,Item_153,Home,153.52
154,Item_154,Electronics,190.95
155,Item_155,Toys,184.47
156,Item_156,Electronics,195.65
157,Item_157,Electronics,202.11
158,Item_158,Electronics,287.97
159,Item_159,Home,31.65
160,Item_160,Clothing,362.76
161,Item_161,Toys,296.56
162,Item_162,Books,17.07
163,Item_163,Clothing,80.07
164,Item_164,Home,352.1
165,Item_165,Clothing,154.78
166,Item_166,Home,263.16
167,Item_167,Books,412.34
168,Item_168,Toys,375.62
169,Item_169,Books,447.81
170,Item_170,Clothing,373.17
171,Item_171,Toys,383.07
172,Item_172,Books,103.44
173,Item_173,Clothing,149.91
174,Item_174,Books,67.15
175,Item_175,Home,15.49
176,Item_176,Books,283.3
177,Item_177,Electronics,257.21
178,Item_178,Electronics,119.16
179,Item_179,Toys,354.79
180,Item_180,Clothing,371.1
181,Item_181,Toys,203.71
182,Item_182,Electronics,142.99
183,Item_183,Books,329.16
184,Item_184,Toys,298.72
185,Item_185,Clothing,235.69
186,Item_186,Home,419.65
187,Item_187,Home,401.64
188,Item_188,Home,136.07
189,Item_189,Books,250.06
190,Item_190,Clothing,175.72
191,Item_191,Electronics,400.45
192,Item_192,Clothing,415.99
193,Item_193,Toys,432.4
194,Item_194,Clothing,313.04
195,Item_195,Books,110.88
196,Item_196,Clothing,22.33
197,Item_197,Home,374.74
198,Item_198,Toys,49.24
199,Item_199,Books,339.73
200,Item_200,Books,192.74
201,Item_201,Electronics,65.3
202,Item_202,Clothing,158.53
203,Item_203,Clothing,203.74
204,Item_204,Electronics,245.06
205,Item_205,Toys,58.82
206,Item_206,Clothing,185.68
207,Item_207,Clothing,486.34
208,Item_208,Clothing,137.5
209,Item_209,Clothing,174.48
210,Item_210,Toys,27.36
211,Item_211,Home,407.47
212,Item_212,Books,421.56
213,Item_213,Books,37.86
214,Item_214,Electronics,106.33
215,Item_215,Electronics,189.87
216,Item_216,Toys,387.94
217,Item_217,Books,89.88
218,Item_218,Electronics,370.69
219,Item_219,Electronics,258.4
220,Item_220,Clothing,178.95
221,Item_221,Toys,420.49
222,Item_222,Home,20.4
223,Item_223,Clothing,24.73
224,Item_224,Electronics,385.89
225,Item_225,Toys,98.78
226,Item_226,Clothing,323.42
227,Item_227,Books,292.69
228,Item_228,Home,454.55
229,Item_229,Clothing,284.1
230,Item_230,Home,206.59
231,Item_231,Toys,403.82
232,Item_232,Books,323.02
233,Item_233,Clothing,447.68
234,Item_234,Books,451.26
235,Item_235,Home,10.29
236,Item_236,Toys,295.31
237,Item_237,Clothing,316.74
238,Item_238,Electronics,61.13
239,Item_239,Books,316.12
240,Item_240,Home,299.84
241,Item_241,Clothing,277.36
242,Item_242,Home,271.36
243,Item_243,Electronics,357.38
244,Item_244,Clothing,6.27
245,Item_245,Books,116.37
246,Item_246,Books,147.6
247,Item_247,Toys,398.06
248,Item_248,Home,426.19
249,Item_249,Electronics,12.86
250,Item_250,Home,211.6
251,Item_251,Books,391.88
252,Item_252,Home,489.3
253,Item_253,Toys,370.53
254,Item_254,Books,115.22
255,Item_255,Home,32.03
256,Item_256,Books,303.01
257,Item_257,Clothing,413.83
258,Item_258,Home,418.33
259,Item_259,Electronics,219.54
260,Item_260,Clothing,238.76
261,Item_261,Books,194.32
262,Item_262,Home,339.37
263,Item_263,Books,211.42
264,Item_264,Home,484.86
265,Item_265,Electronics,409.16
266,Item_266,Books,291.34
267,Item_267,Home,311.17
268,Item_268,Electronics,306.34
269,Item_269,Electronics,68.78
270,Item_270,Books,138.19
271,Item_271,Toys,187.1
272,Item_272,Home,5.69
273,Item_273,Clothing,67.01
274,Item_274,Toys,136.91
275,Item_275,Clothing,429.71
276,Item_276,Electronics,272.55
277,Item_277,Home,217.24
278,Item_278,Home,48.9
279,Item_279,Toys,95.2
280,Item_280,Electronics,161.85
281,Item_281,Books,380.06
282,Item_282,Electronics,382.71
283,Item_283,Electronics,231.69
284,Item_284,Home,7.36
285,Item_285,Books,70.83
286,Item_286,Clothing,44.83
287,Item_287,Electronics,497.75
288,Item_288,Books,169.47
289,Item_289,Home,103.27
290,Item_290,Home,444.58
291,Item_291,Home,169.33
292,Item_292,Clothing,159.63
293,Item_293,Books,497.43
294,Item_294,Electronics,278.1
295,Item_295,Clothing,355.0
296,Item_296,Books,414.75
297,Item_297,Electronics,294.12
298,Item_298,Clothing,25.98
299,Item_299,Books,74.51
300,Item_300,Books,430.54
301,Item_301,Home,142.68
302,Item_302,Electronics,7.92
303,Item_303,Clothing,436.85
304,Item_304,Toys,128.43
305,Item_305,Electronics,257.02
306,Item_306,Toys,159.76
307,Item_307,Home,58.97
308,Item_308,Clothing,247.21
309,Item_309,Toys,331.14
310,Item_310,Home,140.55
311,Item_311,Toys,83.86
312,Item_312,Home,35.19
313,Item_313,Books,203.54
314,Item_314,Clothing,255.13
315,Item_315,Home,389.98
316,Item_316,Home,480.35
317,Item_317,Electronics,213.17
318,Item_318,Electronics,222.81
319,Item_319,Home,273.52
320,Item_320,Toys,40.49
321,Item_321,Books,23.7
322,Item_322,Books,236.85
323,Item_323,Clothing,84.26
324,Item_324,Books,347.78
325,Item_325,Home,265.44
326,Item_326,Toys,106.74
327,Item_327,Toys,127.73
328,Item_328,Electronics,450.43
329,Item_329,Clothing,460.93
330,Item_330,Books,62.17
331,Item_331,Home,294.18
332,Item_332,Electronics,210.52
333,Item_333,Toys,331.81
334,Item_334,Clothing,431.94
335,Item_335,Electronics,226.65
336,Item_336,Clothing,269.2
337,Item_337,Home,85.02
338,Item_338,Clothing,343.29
339,Item_339,Toys,165.04
340,Item_340,Home,206.54
341,Item_341,Clothing,108.57
342,Item_342,Home,93.94
343,Item_343,Electronics,64.57
344,Item_344,Clothing,369.84
345,Item_345,Electronics,235.87
346,Item_346,Toys,94.9
347,Item_347,Electronics,437.79
348,Item_348,Electronics,227.01
349,Item_349,Clothing,73.82
350,Item_350,Electronics,315.4
351,Item_351,Clothing,250.68
352,Item_352,Clothing,268.32
353,Item_353,Electronics,321.93
354,Item_354,Clothing,14.37
355,Item_355,Electronics,139.57
356,Item_356,Home,266.51
357,Item_357,Electronics,326.04
358,Item_358,Clothing,239.59
359,Item_359,Books,152.4
360,Item_360,Home,247.61
361,Item_361,Toys,55.85
362,Item_362,Toys,454.42
363,Item_363,Books,133.56
364,Item_364,Books,415.52
